Event,Trial,Fault_Timestamp,INV_kW,RLC_kW,Vrms_initial,Vrms_min,Vmax,Imax,max_voltage_thd,VA_below_95_time,VB_below_95_time,VC_below_95_time,VA_below_95_duration,VB_below_95_duration,VC_below_95_duration,peak_violation
10031,1,0.104,0.0,0.125,283.11,94.4,451.13,240.42,56.96,,,,0.0917,0.0615,0.0641,1
10057,2,0.0838,0.0,0.125,283.43,127.65,428.51,234.76,36.53,,,,0.0323,0.0266,0.0271,1
10059,3,0.0859,0.0,0.125,283.53,126.79,422.85,229.1,31.77,,,,0.0328,0.0766,0.0719,0
10033,1,0.0989,0.125,0.125,282.88,227.4,411.54,216.37,10.07,,,,0.0005,0.0,0.0016,0
10061,2,0.0895,0.125,0.125,283.53,222.5,411.54,219.2,9.57,,,,0.0,0.0,0.0,0
10062,3,0.0927,0.125,0.125,283.54,220.15,411.54,220.62,9.83,,,,0.0078,0.0,0.0,0
10035,1,0.11090000000000001,0.25,0.125,283.04,204.23,510.53,427.09,22.31,,,,0.0677,0.0255,0.025,1
10064,2,0.0989,0.25,0.125,283.6,175.34,510.53,432.75,18.83,,,,0.0703,0.0234,0.0255,1
10066,3,0.0875,0.25,0.125,283.74,215.07,513.36,431.34,17.89,,,,0.0214,0.0245,0.026,1
10037,1,0.087,-0.125,0.125,282.25,0.0,410.12,219.2,669.26,,,,0.1125,0.1104,0.1083,1
10039,2,0.0901,-0.125,0.125,282.27,78.73,444.06,241.83,291.81,,,,0.1,0.0927,0.0943,1
10068,3,0.0833,-0.125,0.125,282.85,65.42,425.68,229.1,330.21,,,,0.101,0.0937,0.0422,1
10042,1,0.0484,-0.25,0.125,281.48,0.0,408.71,435.58,760.82,,,,0.112,0.1094,0.1078,1
10045,2,0.0443,-0.25,0.125,281.81,0.0,410.12,431.34,408.05,,,,0.1089,0.1068,0.1078,1
10047,3,0.06509999999999999,-0.25,0.125,281.78,96.24,435.58,432.75,96.71,,,,0.0917,0.0542,0.1005,1
10049,1,0.0516,0.0,0.25,282.51,0.0,410.12,287.09,259.8,,,,0.1083,0.113,0.1104,1
10051,2,0.055200000000000006,0.0,0.25,282.81,83.84,411.54,436.99,61.41,,,,0.1115,0.1089,0.1073,1
10070,3,0.0844,0.0,0.25,282.8,49.77,411.54,434.16,84.72,,,,0.1083,0.0802,0.1104,1
10053,1,0.0588,0.125,0.25,282.44,157.03,410.12,427.09,21.87,,,,0.1089,0.1068,0.1115,1
10072,2,0.08070000000000001,0.125,0.25,283.25,157.32,411.54,431.34,17.37,,,,0.1057,0.1042,0.1078,1
10074,3,0.0865,0.125,0.25,283.01,154.71,411.54,436.99,23.29,,,,0.1078,0.1062,0.1104,1
10054,1,0.0933,0.25,0.25,283.07,216.21,411.54,432.75,8.59,,,,0.0917,0.1057,0.1047,1
10076,2,0.101,0.25,0.25,282.89,221.6,410.12,432.75,13.32,,,,0.0932,0.0828,0.074,0
10078,3,0.101,0.25,0.25,282.9,224.13,410.12,434.16,9.8,,,,0.0589,0.025,0.0182,0
10080,1,0.0973,-0.125,0.25,281.81,53.77,408.71,452.55,1285.58,,,,0.1094,0.1083,0.112,1
10082,2,0.0953,-0.125,0.25,281.78,0.0,408.71,347.9,714.8,,,,0.1125,0.112,0.1099,1
10084,3,0.0937,-0.125,0.25,281.93,54.84,410.12,435.58,238.56,,,,0.1125,0.112,0.1094,1
10086,1,0.1093,-0.25,0.25,281.65,65.77,410.12,431.34,96.12,,,,0.1094,0.1073,0.1094,1
10088,2,0.0958,-0.25,0.25,281.86,0.0,410.12,429.92,909.6,,,,0.1115,0.1099,0.112,1
10089,3,0.1187,-0.25,0.25,282.11,0.0,410.12,296.98,374.17,,,,0.1068,0.1052,0.1073,1
