INV_kW,RLC_kW,Event,Trial,Vrms_initial,Vrms_min,Vmax,Imax,VA_below_95_time,VB_below_95_time,VC_below_95_time,VA_below_95_duration,VB_below_95_duration,VC_below_95_duration,peak_violation,max_voltage_thd
0.0,0.125,10031,1,283.11,94.4,451.13,240.42,,,,0.0917,0.0615,0.0641,1,56.96
0.125,0.125,10033,1,282.88,227.4,411.54,216.37,,,,0.0005,0.0,0.0016,0,10.07
0.25,0.125,10035,1,283.04,204.23,510.53,427.09,,,,0.0677,0.0255,0.025,1,22.31
-0.125,0.125,10037,1,282.25,0.0,410.12,219.2,,,,0.1125,0.1104,0.1083,1,669.26
-0.125,0.125,10039,2,282.27,78.73,444.06,241.83,,,,0.1,0.0927,0.0943,1,291.81
-0.25,0.125,10042,1,281.48,0.0,408.71,435.58,,,,0.112,0.1094,0.1078,1,760.82
-0.25,0.125,10045,2,281.81,0.0,410.12,431.34,,,,0.1089,0.1068,0.1078,1,408.05
-0.25,0.125,10047,3,281.78,96.24,435.58,432.75,,,,0.0917,0.0542,0.1005,1,96.71
0.0,0.25,10049,1,282.51,0.0,410.12,287.09,,,,0.1083,0.113,0.1104,1,259.8
0.0,0.25,10051,2,282.81,83.84,411.54,436.99,,,,0.1115,0.1089,0.1073,1,61.41
0.125,0.25,10053,1,282.44,157.03,410.12,427.09,,,,0.1089,0.1068,0.1115,1,21.87
0.25,0.25,10054,1,283.07,216.21,411.54,432.75,,,,0.0917,0.1057,0.1047,1,8.59
0.0,0.125,10057,2,283.43,127.65,428.51,234.76,,,,0.0323,0.0266,0.0271,1,36.53
0.0,0.125,10059,3,283.53,126.79,422.85,229.1,,,,0.0328,0.0766,0.0719,0,31.77
0.125,0.125,10061,2,283.53,222.5,411.54,219.2,,,,0.0,0.0,0.0,0,9.57
0.125,0.125,10062,3,283.54,220.15,411.54,220.62,,,,0.0078,0.0,0.0,0,9.83
0.25,0.125,10064,2,283.6,175.34,510.53,432.75,,,,0.0703,0.0234,0.0255,1,18.83
0.25,0.125,10066,3,283.74,215.07,513.36,431.34,,,,0.0214,0.0245,0.026,1,17.89
-0.125,0.125,10068,3,282.85,65.42,425.68,229.1,,,,0.101,0.0937,0.0422,1,330.21
0.0,0.25,10070,3,282.8,49.77,411.54,434.16,,,,0.1083,0.0802,0.1104,1,84.72
0.125,0.25,10072,2,283.25,157.32,411.54,431.34,,,,0.1057,0.1042,0.1078,1,17.37
0.125,0.25,10074,3,283.01,154.71,411.54,436.99,,,,0.1078,0.1062,0.1104,1,23.29
0.25,0.25,10076,2,282.89,221.6,410.12,432.75,,,,0.0932,0.0828,0.074,0,13.32
0.25,0.25,10078,3,282.9,224.13,410.12,434.16,,,,0.0589,0.025,0.0182,0,9.8
-0.125,0.25,10080,1,281.81,53.77,408.71,452.55,,,,0.1094,0.1083,0.112,1,1285.58
-0.125,0.25,10082,2,281.78,0.0,408.71,347.9,,,,0.1125,0.112,0.1099,1,714.8
-0.125,0.25,10084,3,281.93,54.84,410.12,435.58,,,,0.1125,0.112,0.1094,1,238.56
-0.25,0.25,10086,1,281.65,65.77,410.12,431.34,,,,0.1094,0.1073,0.1094,1,96.12
-0.25,0.25,10088,2,281.86,0.0,410.12,429.92,,,,0.1115,0.1099,0.112,1,909.6
-0.25,0.25,10089,3,282.11,0.0,410.12,296.98,,,,0.1068,0.1052,0.1073,1,374.17
